Tamanho,Bubble Sort,Insertion Sort,Heap Sort,Merge Sort,Quick Sort,Radix Sort
728,21944,9186,19625,13001,11672,5192
729,21477,8788,19662,13026,11491,5054
730,21443,8818,19694,13046,11733,4914
731,21299,9164,19699,13069,11781,5310
732,21431,8798,19738,13086,11715,5220
733,21681,9152,19770,13107,12031,4934
734,22019,8756,19797,13127,11738,5186
735,20754,8722,19853,13146,11818,5194
736,21250,8838,19862,13172,11805,5004
737,21972,9254,19900,13192,11672,5158
738,21804,9214,19944,13209,11994,5312
739,20602,8830,19966,13222,11853,5222
740,22038,8752,20003,13252,12269,5180
741,21532,9222,20028,13273,12023,5088
742,22161,9098,20086,13292,11830,5390
743,22179,9138,20086,13317,11838,5250
744,22151,9084,20140,13329,12153,5058
745,22054,9240,20148,13351,11977,5364
746,22446,9182,20190,13374,11830,5470
747,22971,9388,20229,13397,12099,5328
748,22344,9182,20254,13415,12125,5284
749,21641,9272,20285,13442,12225,5142
750,22990,9080,20319,13460,12111,5100
751,22842,9134,20349,13480,11968,5356
752,21791,9336,20397,13500,12087,5212
753,23441,9282,20384,13520,11978,5220
754,22782,9220,20444,13539,12138,5226
755,22576,9512,20443,13561,12373,5536
756,22154,9478,20499,13577,12244,5342
757,23749,9698,20545,13595,12156,5500
758,23737,9826,20570,13627,12307,5306
759,23196,9806,20586,13641,12184,5362
760,22961,9338,20642,13665,12439,5370
761,23768,9588,20647,13681,12591,5580
762,23029,9428,20680,13700,12334,5486
763,23594,9900,20704,13723,12082,5492
764,22846,9830,20741,13743,12050,5348
765,23535,9684,20793,13771,12238,5100
766,21779,9184,20806,13787,12235,5464
767,23281,10050,20848,13809,12428,5316
768,24430,9794,20878,13831,12669,5478
769,24042,9632,20898,13850,12672,5536
770,23264,10180,20933,13871,12395,5646
771,24204,9704,20976,13895,12288,5654
772,24273,9892,20986,13907,12709,5506
773,23923,10378,21047,13932,12437,5564
774,23700,9936,21055,13950,12622,5624
775,23989,10258,21081,13975,12365,5424
776,24688,9954,21134,14002,12691,5690
777,23863,10168,21162,14023,12884,5490
778,24416,10138,21190,14036,12572,5446
779,24299,10684,21227,14058,12641,5036
780,23839,10596,21258,14081,12621,5564
781,24651,10094,21289,14101,12398,5466
782,24360,10504,21303,14120,12668,5474
783,23905,10066,21359,14140,12688,5480
784,24786,10004,21353,14163,12675,5644
785,24948,10540,21398,14187,12566,5704
786,25314,10436,21439,14201,13191,5710
787,24792,10388,21490,14225,12750,5928
788,25089,10410,21489,14247,12882,5568
789,24851,10406,21546,14271,12709,5628
790,25394,10654,21557,14286,12716,5950
791,24725,10634,21592,14312,13186,5800
792,25225,10478,21618,14334,12930,5596
793,25299,10524,21657,14351,12812,5868
794,24727,10490,21689,14372,12848,5452
795,25175,10440,21743,14394,13143,5512
796,25808,10330,21782,14411,12956,5572
797,25652,10284,21784,14430,12861,5578
798,25122,10552,21805,14457,13087,5744
799,25207,10514,21813,14474,13216,5592
800,26234,11132,21908,14495,13020,5440
801,25807,10814,21915,14514,13171,5820
802,25540,11030,21946,14537,13209,5774
803,25920,11312,21977,14554,12968,5674
804,25533,10596,22020,14578,13093,5788
805,25877,10858,22050,14602,13112,5634
806,26250,11016,22074,14626,13071,5588
807,26683,11024,22098,14641,13129,5648
808,24847,10582,22118,14664,12965,5870
809,26839,10854,22174,14688,13143,5554
810,26184,11000,22198,14706,13394,5670
811,25509,10842,22228,14725,13180,5676
812,26269,10854,22269,14746,13497,5792
813,26483,10904,22281,14766,13429,5906
814,26528,11322,22327,14788,13396,5698
815,26007,10662,22340,14807,13445,5976
816,26176,10624,22393,14834,13348,5928
817,26353,11034,22411,14854,13491,5392
818,27251,10820,22457,14879,13252,5780
819,27116,11314,22461,14890,13141,6006
820,26571,11210,22502,14917,13400,5904
821,26648,11258,22556,14932,13289,6184
822,27564,11286,22567,14955,13660,5698
823,27755,11286,22611,14979,13750,5596
824,27232,11120,22623,14996,13438,6042
825,27892,11288,22679,15015,13484,5884
826,27158,11746,22703,15037,13546,5782
827,28302,11284,22720,15063,13405,6064
828,28105,11498,22755,15076,13515,5906
829,27465,11598,22795,15103,13869,5692
830,26718,11488,22839,15124,13600,5976
831,26953,11354,22863,15142,13298,6038
832,27444,11566,22900,15165,13805,5934
833,27980,11642,22916,15186,13671,6108
834,28354,11448,22956,15210,13767,5560
835,28501,12134,22960,15227,13956,5956
836,27874,11270,23016,15247,13648,5740
837,28363,11972,23043,15261,13784,5634
838,27651,11778,23066,15286,13730,5810
839,27735,11336,23093,15311,13822,5984
840,29115,12030,23151,15327,13944,6160
841,28657,11842,23178,15350,13770,5774
842,28527,11584,23226,15373,14045,6006
843,28946,11582,23228,15394,14171,5956
844,28145,12006,23266,15412,14217,5794
845,28904,11894,23311,15434,13903,6140
846,27121,12048,23316,15457,13910,5696
847,29265,12170,23371,15479,14299,6154
848,29365,12314,23399,15505,13963,5822
849,28729,12062,23423,15516,14010,5886
850,27940,11506,23471,15542,14166,6006
851,29857,12170,23486,15560,13954,5900
852,29317,12000,23530,15584,14003,6190
853,29358,12084,23548,15603,14018,6254
854,28693,12518,23586,15624,13957,5978
855,28301,12648,23603,15643,13860,6042
856,29662,12186,23650,15662,14290,6162
857,29126,12484,23677,15683,13963,6112
858,28829,12008,23710,15704,14209,6062
859,29498,12148,23764,15730,14276,5840
860,29208,12146,23783,15745,14153,5732
861,29624,12464,23807,15768,14500,6198
862,30220,12682,23846,15786,14076,5976
863,30564,12856,23857,15812,14200,5868
864,30502,12502,23886,15830,14158,6104
865,30415,12388,23938,15855,14252,6342
866,30036,12380,23976,15874,14103,6408
867,30422,12406,23994,15890,14546,6242
868,30827,12178,24029,15917,14676,6132
869,30316,12660,24062,15942,14172,6372
870,30259,12374,24108,15960,14649,6322
871,30447,12812,24115,15974,14516,6038
872,30085,12614,24164,15998,14578,6278
873,31631,12976,24167,16019,14283,6342
874,30890,13068,24227,16043,14270,6292
875,30981,13252,24250,16062,14572,6066
876,30611,12922,24289,16079,14703,6072
877,30967,13054,24316,16107,14629,6138
878,30005,12360,24330,16126,14348,6320
879,31439,13008,24387,16147,14555,6094
880,30548,12926,24421,16169,14753,5924
881,31881,13132,24461,16181,14796,6166
882,31182,12968,24474,16211,14602,6468
883,30967,12896,24480,16229,14790,6474
884,31274,13454,24558,16250,14401,6188
885,31684,12922,24549,16277,14442,6548
886,31745,13222,24616,16291,14590,6438
887,32669,13240,24635,16314,14620,6090
888,31244,12934,24655,16333,14971,6156
889,31970,12850,24697,16358,14609,6282
890,31942,13448,24747,16369,15090,6230
891,32293,13618,24744,16398,14688,6118
892,31977,13048,24788,16418,14823,6422
893,31170,13160,24809,16436,14914,6250
894,31262,13468,24867,16464,15041,6018
895,33068,13390,24888,16476,15082,6562
896,32720,13590,24909,16504,14975,6390
897,33015,13466,24924,16525,15118,6338
898,32400,13194,24974,16542,15045,6404
899,32393,13360,25022,16565,14970,6472
900,33126,13812,25041,16590,15015,6660
901,32599,13418,25084,16608,15163,6606
902,32593,13230,25101,16625,14672,6614
903,33462,13286,25146,16645,15312,6440
904,33465,13954,25156,16667,14795,6628
905,32324,13904,25187,16694,15415,6576
906,33539,13260,25218,16717,14977,6704
907,33550,13646,25263,16735,14925,6590
908,33136,13846,25298,16751,15256,6658
909,34101,14084,25341,16776,15078,6422
910,31796,14384,25358,16796,14968,6552
911,33169,14164,25388,16821,15396,6680
912,34280,14144,25431,16840,15516,6444
913,33298,13640,25447,16855,15211,6572
914,34361,14126,25490,16879,15489,6458
915,34097,13720,25503,16893,15375,6832
916,33924,13802,25549,16920,15137,6594
917,33561,13810,25595,16941,15218,6296
918,34669,14258,25623,16958,15223,6242
919,33663,13898,25656,16982,15308,6922
920,34229,13932,25689,17002,15405,6500
921,34138,14180,25701,17028,15578,7060
922,33215,13872,25727,17045,15315,6884
923,34100,13862,25778,17073,15462,6952
924,35162,14882,25809,17089,15265,6898
925,34674,13784,25857,17110,15501,6598
926,34488,13846,25874,17126,15650,6482
927,35601,14530,25899,17151,15685,6550
928,33966,14288,25943,17168,15512,6248
929,34460,14044,25961,17195,15604,6440
930,34081,14776,26004,17218,15433,6696
931,35001,14388,26010,17236,15545,6702
932,33959,14602,26063,17257,15554,6648
933,35800,14686,26082,17274,15425,6592
934,34284,14764,26137,17297,15766,6848
935,35348,15154,26159,17316,15817,6606
936,35700,14678,26205,17333,15948,6738
937,34030,14832,26220,17360,15550,6370
938,35009,14486,26262,17382,15432,6628
939,35532,14848,26288,17399,16073,6698
940,36010,15054,26311,17427,15727,6516
941,36435,14654,26336,17442,15845,6774
942,36154,14718,26392,17467,15715,6718
943,36658,14848,26428,17489,15687,6914
944,36007,15184,26426,17507,15844,6984
945,36652,15154,26487,17529,15953,6992
946,36240,15464,26485,17553,16093,6874
947,36534,14920,26563,17570,15829,7134
948,36920,15316,26584,17593,15742,6762
949,36638,15132,26619,17613,15626,7212
950,36969,15164,26633,17633,16038,6776
951,36296,14832,26684,17652,15894,6910
952,37504,15158,26705,17680,15780,6790
953,37203,15890,26731,17698,15717,7052
954,37404,15024,26770,17710,16278,6868
955,36838,15736,26793,17739,15929,6938
956,36699,15142,26819,17757,16371,6754
957,36536,15266,26850,17786,15972,6890
958,37233,15706,26878,17807,16204,6768
959,36758,14760,26948,17826,16069,7288
960,37239,15340,26959,17847,16205,7168
961,35612,15160,26997,17864,16004,6790
962,37383,15376,27005,17886,16023,7054
963,37483,15450,27048,17907,16134,6932
964,38407,15374,27085,17928,16177,6876
965,37844,15664,27115,17950,16423,6818
966,38310,15568,27136,17975,16316,6762
967,36069,15338,27190,17989,16129,7026
968,36163,15272,27225,18013,16179,6840
969,37807,15662,27249,18036,16600,6782
970,38630,16214,27283,18049,16464,6984
971,37335,15306,27298,18079,16434,6926
972,37835,15986,27339,18090,16254,7192
973,38100,15742,27373,18114,16291,6874
974,38631,16158,27407,18134,16525,7076
975,36949,15652,27425,18162,16314,7020
976,38955,15576,27470,18177,16372,7092
977,39246,15834,27493,18202,16463,7228
978,38164,15884,27535,18221,16901,6976
979,38514,16130,27565,18251,16891,7048
980,38706,16258,27599,18268,16522,7186
981,36984,15886,27645,18284,16699,7128
982,39478,16238,27653,18313,16521,7070
983,38340,15730,27715,18324,16503,6946
984,37928,16024,27717,18346,16212,7018
985,40077,15998,27765,18356,16981,6960
986,40275,16656,27797,18387,16547,7032
987,39041,16228,27819,18407,16563,7238
988,40462,16572,27854,18435,16626,7244
989,39037,15896,27877,18450,16676,6988
990,40682,16484,27924,18475,16685,7128
991,39898,15644,27978,18494,17115,7200
992,40001,16710,27980,18514,17327,7208
993,40831,17114,28001,18537,16635,7282
994,39864,16440,28072,18551,17123,7156
995,39144,16594,28061,18577,16663,7230
996,39363,16970,28089,18604,17167,7370
997,40385,16694,28141,18620,16759,7510
998,40645,17416,28178,18637,16982,7118
999,39851,16428,28188,18664,16873,7392
1000,41149,16764,28232,18680,16833,6732
